po_id,date,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,total_amount,negotiated_discount,expected_delivery_date,actual_delivery_date,quality_pass_rate,status
PO-9035,2024-10-24,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,129,850.0,109650.0,6994.43,2024-11-05,2024-11-05,96.0,Completed
PO-9036,2024-03-16,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,97,3100.0,300700.0,14302.32,2024-03-28,2024-03-28,98.5,Completed
PO-9037,2024-03-31,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,341,320.0,109120.0,6422.13,2024-04-12,2024-04-12,93.1,Completed
PO-9038,2024-03-24,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,468,85.0,39780.0,961.37,2024-04-04,2024-04-04,93.5,Completed
PO-9039,2024-05-05,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,380,3100.0,1178000.0,74754.01,2024-05-16,2024-05-16,93.9,Completed
PO-9040,2025-01-19,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,358,1200.0,429600.0,18489.74,2025-01-25,2025-01-27,93.7,Delayed
PO-9041,2024-01-07,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,117,1200.0,140400.0,5062.74,2024-01-15,2024-01-15,99.4,Completed
PO-9042,2024-11-03,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,455,1200.0,546000.0,28688.05,2024-11-08,2024-11-08,98.6,Completed
PO-9043,2025-03-12,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,153,450.0,68850.0,4515.2,2025-03-19,2025-03-21,99.1,Delayed
PO-9044,2025-02-21,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,207,85.0,17595.0,515.02,2025-03-03,2025-03-05,93.4,Delayed
PO-9045,2024-12-20,SUP-2005,OptiCable Corp,PROD-1005,Fiber Optic Cable (1km),371,210.0,77910.0,5414.39,2024-12-26,2024-12-26,93.7,Completed
PO-9046,2024-05-31,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,311,450.0,139950.0,2809.16,2024-06-11,2024-06-11,94.5,Completed
PO-9047,2024-04-26,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,247,850.0,209950.0,12454.63,2024-05-03,2024-05-04,94.5,Delayed
PO-9048,2025-03-26,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,401,850.0,340850.0,10284.65,2025-04-01,2025-04-03,93.7,Delayed
PO-9049,2024-02-22,SUP-2005,OptiCable Corp,PROD-1005,Fiber Optic Cable (1km),232,210.0,48720.0,1320.36,2024-02-28,2024-02-29,99.3,Delayed
PO-9050,2025-04-15,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,72,450.0,32400.0,1481.25,2025-04-22,2025-04-22,95.3,Completed
PO-9051,2024-04-02,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,126,850.0,107100.0,4380.73,2024-04-11,2024-04-12,93.7,Delayed
PO-9052,2025-04-14,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,388,3100.0,1202800.0,82564.0,2025-04-24,2025-04-25,97.8,Delayed
PO-9053,2024-02-09,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,491,1200.0,589200.0,23105.69,2024-02-16,2024-02-16,95.7,Completed
PO-9054,2025-01-04,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,467,3100.0,1447700.0,79146.59,2025-01-10,2025-01-10,99.5,Completed
PO-9055,2024-05-22,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,96,85.0,8160.0,252.24,2024-06-01,2024-06-01,95.6,Completed
PO-9056,2024-06-12,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,267,3100.0,827700.0,46437.77,2024-06-24,2024-06-26,97.3,Delayed
PO-9057,2024-03-11,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,246,320.0,78720.0,4119.01,2024-03-22,2024-03-24,96.3,Delayed
PO-9058,2024-10-01,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,246,320.0,78720.0,4063.27,2024-10-07,2024-10-09,98.3,Delayed
PO-9059,2025-02-19,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,409,320.0,130880.0,5458.03,2025-02-25,2025-02-25,94.4,Completed
PO-9060,2025-03-11,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,235,1200.0,282000.0,21221.7,2025-03-23,2025-03-23,93.4,Completed
PO-9061,2024-06-27,SUP-2001,Apex Tech Solutions,PROD-1006,Smart Terminal Controller,484,150.0,72600.0,3457.45,2024-07-04,2024-07-05,98.7,Delayed
PO-9062,2024-10-09,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,174,850.0,147900.0,3453.75,2024-10-17,2024-10-17,93.9,Completed
PO-9063,2024-12-22,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,243,85.0,20655.0,873.73,2024-12-27,2024-12-29,97.8,Delayed
PO-9064,2024-12-05,SUP-2009,RuggedTech Hardware,PROD-1010,Ruggedized Field Tablet,87,400.0,34800.0,759.03,2024-12-17,2024-12-17,95.5,Completed
PO-9065,2024-02-10,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,89,320.0,28480.0,825.44,2024-02-15,2024-02-17,94.2,Delayed
PO-9066,2025-01-15,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,433,85.0,36805.0,1644.87,2025-01-24,2025-01-26,95.3,Delayed
PO-9067,2025-02-04,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,196,1200.0,235200.0,5550.73,2025-02-10,2025-02-10,97.4,Completed
PO-9068,2024-11-05,SUP-2003,MicroChip Dynamics,PROD-1003,Industrial IoT Sensor Kit,307,85.0,26095.0,1142.53,2024-11-12,2024-11-12,95.9,Completed
PO-9069,2025-03-24,SUP-2007,RoboPack Systems,PROD-1008,Automated Packing Module,333,3100.0,1032300.0,64581.89,2025-04-02,2025-04-03,95.9,Delayed
PO-9070,2024-03-21,SUP-2005,OptiCable Corp,PROD-1005,Fiber Optic Cable (1km),97,210.0,20370.0,1315.66,2024-04-01,2024-04-01,95.7,Completed
PO-9071,2024-01-29,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,250,320.0,80000.0,5519.48,2024-02-05,2024-02-05,96.2,Completed
PO-9072,2024-06-09,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,473,850.0,402050.0,9359.84,2024-06-20,2024-06-20,95.5,Completed
PO-9073,2024-08-05,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,188,320.0,60160.0,1484.06,2024-08-11,2024-08-11,97.1,Completed
PO-9074,2025-03-09,SUP-2001,Apex Tech Solutions,PROD-1006,Smart Terminal Controller,64,150.0,9600.0,285.75,2025-03-17,2025-03-18,93.7,Delayed
PO-9075,2024-04-18,SUP-2009,RuggedTech Hardware,PROD-1010,Ruggedized Field Tablet,55,400.0,22000.0,1168.23,2024-04-27,2024-04-27,97.3,Completed
PO-9076,2024-01-17,SUP-2004,EnergyVolt Industries,PROD-1004,High-Capacity Lithium Battery Pack,187,320.0,59840.0,3220.85,2024-01-23,2024-01-23,98.4,Completed
PO-9077,2024-01-24,SUP-2001,Apex Tech Solutions,PROD-1001,Enterprise Server X1,211,1200.0,253200.0,5192.81,2024-01-30,2024-01-31,95.4,Delayed
PO-9078,2024-05-24,SUP-2006,HeavyDuty Machines Ltd,PROD-1007,Heavy Duty Conveyor Belt,306,850.0,260100.0,16935.25,2024-06-01,2024-06-02,97.9,Delayed
PO-9079,2024-03-07,SUP-2002,Global Netcom Inc,PROD-1002,Cloud Edge Router Pro,219,450.0,98550.0,4940.37,2024-03-18,2024-03-18,98.3,Completed
PO-9080,2024-01-13,SUP-2009,RuggedTech Hardware,PROD-1010,Ruggedized Field Tablet,457,400.0,182800.0,10087.18,2024-01-24,2024-01-26,98.8,Delayed
