transaction_id,date,department,project_name,revenue,expenses,profit,budget_allocated,budget_used,cash_flow,operational_cost,capital_expenditure,investment_amount,roi
FIN-TX-0035,2024-01-05,Finance,Warehouse Automation Phase 2,0.0,245533.73,-245533.73,309878.8,245533.73,-245519.01,205226.54,40307.19,58368.63,-420.66
FIN-TX-0036,2025-01-20,Procurement,Core Procurement Efficiency,0.0,172795.17,-172795.17,209598.1,172795.17,-167785.94,122067.66,50727.51,70873.01,-243.81
FIN-TX-0037,2025-04-17,Engineering,Cloud Migration Project,328576.62,250353.96,78222.66,291921.8,250353.96,69754.31,199366.74,50987.22,71184.66,109.89
FIN-TX-0038,2025-03-19,Finance,Employee Upskilling Initiative,0.0,316419.85,-316419.85,333427.69,316419.85,-306062.09,237934.85,78485.0,104182.0,-303.72
FIN-TX-0039,2024-08-31,Logistics,Warehouse Automation Phase 2,0.0,367710.39,-367710.39,476911.7,367710.39,-324538.07,256150.17,111560.22,143872.26,-255.58
FIN-TX-0040,2024-12-11,HR,South Region Logistics Expansion,0.0,287098.68,-287098.68,337551.49,287098.68,-291655.52,184563.08,102535.6,133042.72,-215.79
FIN-TX-0041,2025-05-08,Sales,Core Procurement Efficiency,470009.77,328102.89,141906.88,360061.05,328102.89,137049.16,202561.79,125541.1,160649.32,88.33
FIN-TX-0042,2024-07-07,Inventory,Warehouse Automation Phase 2,0.0,167069.84,-167069.84,180997.49,167069.84,-167998.67,119232.05,47837.79,67405.35,-247.86
FIN-TX-0043,2024-02-26,Inventory,ERP Integration & AI ADK,0.0,386883.68,-386883.68,436868.31,386883.68,-343839.5,247318.82,139564.86,177477.83,-217.99
FIN-TX-0044,2024-04-15,Logistics,South Region Logistics Expansion,0.0,337657.04,-337657.04,384414.24,337657.04,-300170.25,278869.89,58787.15,80544.58,-419.22
FIN-TX-0045,2024-11-05,Inventory,ERP Integration & AI ADK,0.0,240625.31,-240625.31,244490.3,240625.31,-246045.98,172936.21,67689.1,91226.92,-263.77
FIN-TX-0046,2024-04-13,Finance,Employee Upskilling Initiative,0.0,139434.64,-139434.64,141337.78,139434.64,-118830.8,99659.39,39775.25,57730.3,-241.53
FIN-TX-0047,2024-09-26,Inventory,South Region Logistics Expansion,0.0,69469.87,-69469.87,78786.52,69469.87,-65903.8,55707.3,13762.57,26515.08,-262.0
FIN-TX-0048,2024-05-27,HR,South Region Logistics Expansion,0.0,241698.36,-241698.36,257092.05,241698.36,-252306.44,189569.5,52128.86,72554.63,-333.13
FIN-TX-0049,2024-11-09,Logistics,ERP Integration & AI ADK,0.0,359608.27,-359608.27,365142.44,359608.27,-394500.66,242506.22,117102.05,150522.46,-238.91
FIN-TX-0050,2024-07-15,Engineering,Warehouse Automation Phase 2,421341.28,191611.7,229729.58,236773.74,191611.7,258043.73,135664.75,55946.95,77136.34,297.82
FIN-TX-0051,2024-05-02,Inventory,Cloud Migration Project,0.0,269132.47,-269132.47,305876.87,269132.47,-300261.02,225108.28,44024.19,62829.03,-428.36
FIN-TX-0052,2024-02-04,Inventory,ERP Integration & AI ADK,0.0,414710.89,-414710.89,447150.12,414710.89,-439350.19,317944.01,96766.88,126120.26,-328.82
FIN-TX-0053,2024-03-03,Procurement,Warehouse Automation Phase 2,0.0,406485.55,-406485.55,458931.41,406485.55,-466887.24,321312.68,85172.87,112207.44,-362.26
FIN-TX-0054,2024-05-09,Sales,Core Procurement Efficiency,141997.65,97639.0,44358.65,97351.05,97639.0,40464.48,69590.63,28048.37,43658.04,101.6
FIN-TX-0055,2024-06-24,Sales,South Region Logistics Expansion,114319.91,59593.36,54726.55,62023.05,59593.36,58764.67,42637.62,16955.74,30346.89,180.34
FIN-TX-0056,2024-06-16,Engineering,Warehouse Automation Phase 2,280179.73,172187.25,107992.48,228503.45,172187.25,113509.67,142792.17,29395.08,45274.1,238.53
FIN-TX-0057,2024-12-31,Logistics,South Region Logistics Expansion,0.0,200225.57,-200225.57,257610.65,200225.57,-227257.13,153023.52,47202.05,66642.46,-300.45
FIN-TX-0058,2024-01-10,Inventory,South Region Logistics Expansion,0.0,430810.18,-430810.18,419192.01,430810.18,-444637.71,276858.99,153951.19,194741.43,-221.22
FIN-TX-0059,2024-12-09,Inventory,ERP Integration & AI ADK,0.0,105304.62,-105304.62,105868.12,105304.62,-113631.76,67617.5,37687.12,55224.54,-190.68
FIN-TX-0060,2024-01-18,Procurement,ERP Integration & AI ADK,0.0,103375.81,-103375.81,119073.41,103375.81,-115554.13,67625.16,35750.65,52900.78,-195.41
FIN-TX-0061,2024-09-24,HR,Warehouse Automation Phase 2,0.0,190617.57,-190617.57,248926.16,190617.57,-198681.39,144621.09,45996.48,65195.78,-292.38
FIN-TX-0062,2024-01-27,Procurement,Cloud Migration Project,0.0,398718.74,-398718.74,453654.45,398718.74,-410465.63,269964.91,128753.83,164504.6,-242.38
FIN-TX-0063,2024-04-12,Sales,Core Procurement Efficiency,302190.89,179505.72,122685.17,219827.99,179505.72,107645.92,148485.17,31020.55,47224.66,259.79
FIN-TX-0064,2024-12-08,Logistics,Q3 Production Scaling,0.0,426473.7,-426473.7,495180.78,426473.7,-370584.94,276371.14,150102.56,190123.07,-224.31
FIN-TX-0065,2024-09-19,Sales,Core Procurement Efficiency,807726.31,412786.06,394940.25,425923.29,412786.06,348457.82,252213.57,160572.49,202686.99,194.85
FIN-TX-0066,2024-10-04,Finance,ERP Integration & AI ADK,0.0,246141.39,-246141.39,302924.35,246141.39,-238392.66,160429.99,85711.4,112853.68,-218.11
FIN-TX-0067,2024-01-08,Logistics,Q3 Production Scaling,0.0,121339.23,-121339.23,154583.66,121339.23,-117776.93,82612.84,38726.39,56471.67,-214.87
FIN-TX-0068,2025-02-21,Finance,Q3 Production Scaling,0.0,202934.9,-202934.9,225134.0,202934.9,-189447.3,125110.19,77824.71,103389.65,-196.28
FIN-TX-0069,2025-01-27,HR,ERP Integration & AI ADK,0.0,72717.05,-72717.05,69772.52,72717.05,-74873.89,51103.67,21613.38,35936.06,-202.35
FIN-TX-0070,2025-05-06,Sales,Cloud Migration Project,592907.24,313674.06,279233.18,291281.69,313674.06,245284.95,201650.0,112024.06,144428.87,193.34
FIN-TX-0071,2024-12-21,Finance,Cloud Migration Project,0.0,353788.62,-353788.62,363341.91,353788.62,-314829.22,298276.25,55512.37,76614.84,-461.78
FIN-TX-0072,2024-12-07,Inventory,Cloud Migration Project,0.0,383705.68,-383705.68,392772.33,383705.68,-381648.68,324041.51,59664.17,81597.0,-470.24
FIN-TX-0073,2024-11-23,Finance,Q3 Production Scaling,0.0,305401.25,-305401.25,323839.99,305401.25,-327556.33,212434.93,92966.32,121559.58,-251.24
FIN-TX-0074,2025-01-23,HR,Employee Upskilling Initiative,0.0,276922.45,-276922.45,367083.11,276922.45,-309885.59,167622.09,109300.36,141160.43,-196.18
FIN-TX-0075,2024-01-31,Finance,Warehouse Automation Phase 2,0.0,382019.37,-382019.37,382060.98,382019.37,-340481.12,288402.3,93617.07,122340.48,-312.26
FIN-TX-0076,2024-05-01,Logistics,ERP Integration & AI ADK,0.0,123150.78,-123150.78,140905.3,123150.78,-138793.73,93657.37,29493.41,45392.09,-271.3
FIN-TX-0077,2024-11-25,HR,South Region Logistics Expansion,0.0,328505.56,-328505.56,382665.04,328505.56,-356787.02,219944.86,108560.7,140272.84,-234.19
FIN-TX-0078,2024-04-27,Sales,Employee Upskilling Initiative,810156.52,360354.29,449802.23,406300.9,360354.29,496617.85,283828.63,76525.66,101830.79,441.72
FIN-TX-0079,2024-12-06,Finance,ERP Integration & AI ADK,0.0,147558.86,-147558.86,159012.04,147558.86,-169178.13,121980.71,25578.15,40693.78,-362.61
FIN-TX-0080,2024-04-03,Engineering,Cloud Migration Project,748441.16,299164.28,449276.88,363325.12,299164.28,441508.1,218500.01,80664.27,106797.12,420.68
FIN-TX-0081,2024-03-13,Sales,Q3 Production Scaling,579042.18,341275.09,237767.09,441440.03,341275.09,269029.27,258888.46,82386.63,108863.96,218.41
FIN-TX-0082,2024-04-14,Inventory,Q3 Production Scaling,0.0,119326.81,-119326.81,128154.12,119326.81,-109887.23,95319.24,24007.57,38809.08,-307.47
FIN-TX-0083,2024-03-31,Sales,South Region Logistics Expansion,712548.45,320855.34,391693.11,376245.1,320855.34,404131.47,212159.57,108695.77,140434.92,278.91
FIN-TX-0084,2025-03-17,Finance,ERP Integration & AI ADK,0.0,330845.85,-330845.85,309389.82,330845.85,-358764.83,215165.68,115680.17,148816.2,-222.32
FIN-TX-0085,2025-01-11,Sales,ERP Integration & AI ADK,363415.61,184597.21,178818.4,229210.01,184597.21,175247.24,134077.22,50519.99,70623.99,253.2
FIN-TX-0086,2024-08-06,Inventory,Core Procurement Efficiency,0.0,435613.38,-435613.38,479190.89,435613.38,-481881.04,344344.68,91268.7,119522.44,-364.46
FIN-TX-0087,2024-08-25,Engineering,ERP Integration & AI ADK,603663.44,254400.63,349262.81,317832.51,254400.63,328919.71,169004.17,85396.46,112475.75,310.52
FIN-TX-0088,2025-01-01,Finance,South Region Logistics Expansion,0.0,275296.87,-275296.87,302963.95,275296.87,-272757.96,188112.7,87184.17,114621.0,-240.18
FIN-TX-0089,2024-07-10,Inventory,Warehouse Automation Phase 2,0.0,53663.17,-53663.17,51881.25,53663.17,-53525.58,41996.38,11666.79,24000.15,-223.6
FIN-TX-0090,2024-11-24,Logistics,South Region Logistics Expansion,0.0,424975.11,-424975.11,486721.69,424975.11,-487130.53,306996.83,117978.28,151573.94,-280.37
FIN-TX-0091,2024-03-24,Sales,South Region Logistics Expansion,554451.51,482996.3,71455.21,448249.81,482996.3,64900.51,402351.56,80644.74,106773.69,66.92
FIN-TX-0092,2024-12-29,Logistics,ERP Integration & AI ADK,0.0,396285.68,-396285.68,397071.67,396285.68,-394932.98,272305.59,123980.09,158776.11,-249.59
FIN-TX-0093,2025-01-11,Procurement,ERP Integration & AI ADK,0.0,350612.76,-350612.76,363404.94,350612.76,-323979.35,291579.98,59032.78,80839.34,-433.72
FIN-TX-0094,2024-01-15,Logistics,Q3 Production Scaling,0.0,403914.21,-403914.21,464660.85,403914.21,-427842.66,313695.83,90218.38,118262.06,-341.54
FIN-TX-0095,2024-05-10,Procurement,Warehouse Automation Phase 2,0.0,150890.11,-150890.11,167598.81,150890.11,-139456.33,116225.62,34664.49,51597.39,-292.44
FIN-TX-0096,2024-11-25,HR,Cloud Migration Project,0.0,323256.92,-323256.92,428682.15,323256.92,-343778.19,256259.68,66997.24,90396.69,-357.6
FIN-TX-0097,2025-04-10,Logistics,South Region Logistics Expansion,0.0,394012.44,-394012.44,367731.4,394012.44,-357230.19,244322.02,149690.42,189628.5,-207.78
FIN-TX-0098,2025-05-10,Logistics,Warehouse Automation Phase 2,0.0,352871.09,-352871.09,423387.3,352871.09,-356385.82,238383.79,114487.3,147384.76,-239.42
FIN-TX-0099,2025-01-07,Logistics,Employee Upskilling Initiative,0.0,167059.3,-167059.3,188590.49,167059.3,-185573.71,136838.29,30221.01,46265.21,-361.09
FIN-TX-0100,2024-04-17,Sales,Cloud Migration Project,614012.39,311732.33,302280.06,307675.26,311732.33,341275.72,208005.06,103727.27,134472.72,224.79
